dataset,accuracy,precision,recall,true_positives,true_negatives,false_positives,false_negatives,n_samples,n_positive,n_negative,threat_type
Train,0.949468085106383,0.9590643274853801,0.984984984984985,328,29,14,5,376,333,43,cyber
Test,0.9148936170212766,0.9634146341463414,0.9404761904761905,79,7,3,5,94,84,10,cyber
Train,0.9263456090651558,0.9400630914826499,0.9770491803278688,298,29,19,7,353,305,48,missile
Test,0.898876404494382,0.9324324324324325,0.9452054794520548,69,11,5,4,89,73,16,missile
Train,0.9017467248908297,0.9169054441260746,0.9523809523809523,320,93,29,16,458,336,122,hybrid
Test,0.9210526315789473,0.9375,0.967741935483871,90,15,6,3,114,93,21,hybrid
Train,0.9586206896551724,0.9637023593466425,0.9925233644859813,531,25,20,4,580,535,45,air
Test,0.9565217391304348,0.9612903225806452,0.9933333333333333,149,5,6,1,161,150,11,air
Train,0.9241706161137441,0.9384885764499121,0.9762340036563071,534,51,35,13,633,547,86,naval
Test,0.9366197183098591,0.9523809523809523,0.975609756097561,120,13,6,3,142,123,19,naval
